,predicted_risk,confidence,true_risk,correct
0,0,0.4285714285653061,True,False
1,0,0.0,False,True
2,0,0.49999999999375,False,True
3,0,0.46666666666355555,False,True
4,0,0.46666666666355555,False,True
5,0,0.0,False,True
6,0,0.4999999999875,False,True
7,0,0.599999999988,False,True
8,0,0.0,False,True
9,0,0.4285714285653061,False,True
10,0,0.4285714285653061,False,True
11,0,0.9999999999,False,True
12,0,0.0,False,True
13,0,0.0,False,True
14,0,0.0,False,True
15,0,0.0,False,True
16,0,0.0,False,True
17,0,0.0,False,True
18,0,0.0,False,True
19,0,0.9999999999,False,True
20,0,0.9999999999,False,True
21,0,0.0,False,True
22,0,0.0,False,True
23,0,0.0,False,True
24,0,0.0,False,True
25,0,0.0,False,True
26,0,0.0,False,True
27,0,0.0,False,True
28,0,0.0,False,True
29,0,0.0,False,True
30,0,0.0,True,False
31,0,0.0,False,True
32,0,0.9999999999,True,False
33,0,0.9999999999,True,False
34,0,0.0,False,True
35,0,0.0,False,True
36,0,0.0,False,True
37,0,0.9999999999,False,True
38,0,0.0,False,True
39,0,0.9999999999,False,True
40,0,0.0,False,True
41,0,0.0,True,False
42,0,0.0,True,False
43,0,0.99999999995,True,False
44,0,0.99999999995,True,False
45,1,0.0,True,True
46,0,0.0,True,False
47,0,0.9999999999,True,False
48,1,0.0,True,True
49,1,0.0,False,False
50,0,0.0,False,True
51,0,0.0,False,True
52,1,0.0,False,False
53,0,0.0,False,True
54,0,0.0,False,True
55,0,0.9999999999,False,True
56,0,0.9999999999,False,True
57,0,0.4999999999875,False,True
58,0,0.4999999999875,False,True
59,0,0.0,False,True
60,0,0.9999999999,False,True
61,0,0.49999999999375,False,True
62,0,0.49999999999375,False,True
63,0,0.4285714285653061,False,True
64,0,0.599999999988,False,True
65,0,0.0,False,True
66,0,0.0,False,True
67,0,0.9999999999,False,True
68,0,0.0,False,True
69,0,0.0,False,True
70,0,0.0,False,True
71,0,0.0,False,True
72,0,0.0,False,True
73,0,0.0,False,True
74,0,0.0,False,True
75,0,0.9999999999,False,True
76,0,0.9999999999,False,True
